week_start_date,QTY,Total Price
2019-04-28,750.0,3334.8225
2019-05-05,600.0,4693.656
2019-05-12,370.0,2855.2776
2019-05-19,140.0,1016.8992000000001
2019-05-26,446.0,1876.93054
2019-06-02,100.0,556.817
2019-06-09,150.0,652.1535
2019-06-16,200.0,747.49
2019-06-23,250.0,842.8265
2019-06-30,300.0,938.163
2019-07-07,4022.0,5000.48528
2019-07-14,4000.0,7344.0
2019-07-21,6695.0,16612.15539
2019-07-28,9390.0,25880.31078
2019-08-04,8695.0,20284.15539
2019-08-11,8000.0,14688.0
2019-08-18,10400.0,21696.576
2019-08-25,12800.0,28705.152000000002
2019-09-01,9400.0,24615.498
2019-09-08,9306.666666666666,24741.721733333332
2019-09-15,9213.333333333334,24867.945466666668
2019-09-22,9120.0,24994.1692
2019-09-29,12464.0,33233.32514
2019-10-06,15808.0,41472.481080000005
2019-10-13,41216.0,96576.74652
2019-10-20,9162.0,27647.92502
2019-10-27,16700.0,40174.237
2019-11-03,11700.0,30034.65055
2019-11-10,6700.0,19895.0641
2019-11-17,12476.0,30077.18848
2019-11-24,8604.0,18625.0
2019-12-01,14624.0,40426.65408
2019-12-08,4772.0,17288.26714
2019-12-15,29600.0,81501.038
2019-12-22,13004.0,50231.484879999996
2019-12-29,12200.0,45087.348
2020-01-05,18380.0,46533.7152
2020-01-12,14275.0,43523.30317
2020-01-19,10170.0,40512.89114
2020-01-26,9085.0,29580.44557
2020-02-02,8000.0,18648.0
2020-02-09,2760.0,13444.5312
2020-02-16,10790.0,30396.077400000002
2020-02-23,1200.0,5812.001
2020-03-01,62590.0,213590.94210000001
2020-03-08,35995.0,120205.65205
2020-03-15,9400.0,26820.362
2020-03-22,11903.333333333334,34784.54196666667
2020-03-29,14406.666666666668,42748.721933333334
2020-04-05,16910.0,50712.9019
2020-04-12,19413.333333333336,58677.08186666667
2020-04-19,21916.666666666668,66641.26183333332
2020-04-26,24420.0,74605.4418
2020-05-03,4220.0,30536.688
2020-05-10,5215.0,44967.5401
2020-05-17,6210.0,59398.3922
2020-05-24,5400.0,19113.138
2020-05-31,2754.5,10312.284065
2020-06-07,109.0,1511.43013
2020-06-14,4000.0,31043.86
2020-06-21,2500.0,20461.864999999998
2020-06-28,1000.0,9879.869999999999
2020-07-05,4725.0,29816.607500000002
2020-07-12,8450.0,49753.345
2020-07-19,150.0,969.1500000000001
2020-07-26,2418.0,17301.4936
2020-08-02,9540.0,76838.71
2020-08-09,8460.0,112047.167
2020-08-16,6986.5,68810.463265
2020-08-23,5513.0,25573.759530000003
2020-08-30,8283.5,47777.158385
2020-09-06,11054.0,69980.55724
2020-09-13,7366.0,81054.35
2020-09-20,7335.0,81732.46459999999
2020-09-27,6265.0,40849.99695
2020-10-04,11210.0,82903.79183999999
2020-10-11,6902.0,83955.7014
2020-10-18,8887.0,82601.75104
2020-10-25,10872.0,81247.80068
2020-11-01,9224.0,109536.5683
2020-11-08,8326.0,74506.42779
2020-11-15,7428.0,39476.28728
2020-11-22,8970.0,49197.123
2020-11-29,8640.0,91178.82800000001
2020-12-06,1460.0,21376.6565
2020-12-13,16013.0,142126.1806
2020-12-20,3790.0,26381.0151
2020-12-27,6317.0,71129.95676
2021-01-03,12788.0,112167.4125
2021-01-10,2505.0,27824.111
2021-01-17,11439.5,84597.385825
2021-01-24,20374.0,141370.66065
2021-01-31,13193.0,106377.09446000001
2021-02-07,3936.0,15200.461229999999
2021-02-14,740.0,15035.9616
2021-02-21,20220.0,211185.651652
2021-02-28,7050.0,85802.411904
2021-03-07,32720.0,300641.781311
2021-03-14,6946.0,64464.625782
2021-03-21,31488.0,232126.539994
2021-03-28,23255.333333333336,176771.99444866666
2021-04-04,15022.666666666668,121417.44890333332
2021-04-11,6790.0,66062.903358
2021-04-18,5160.0,53886.99888
2021-04-25,12540.0,81866.91573000001
2021-05-02,2520.0,30907.673267000002
2021-05-09,10120.0,65386.032812
2021-05-16,10115.0,116830.287726
2021-05-23,3135.0,15017.7159
2021-05-30,1475.0,29378.438896
2021-06-06,4987.5,59264.41016
2021-06-13,8500.0,89150.381424
