,Category,Product Code,Date,QTY,Total Price,month,quarter,y_diff,QTY_lag,price,category_encoded,model_set
1,Category4,30001311,2020-08-31,0,0.0,8,3,-800.0,800.0,,0.0,train
2,Category4,30001311,2020-09-30,1070,27765.43,9,3,1070.0,0.0,25.949,0.0,train
3,Category4,30001311,2020-10-31,1120,36115.8,10,4,50.0,1070.0,32.24625,0.0,train
4,Category4,30001311,2020-11-30,950,26093.65,11,4,-170.0,1120.0,27.467000000000002,0.0,train
5,Category4,30001311,2020-12-31,470,13610.284,12,4,-480.0,950.0,28.958051063829785,0.0,train
6,Category4,30001311,2021-01-31,1300,32776.7,1,1,830.0,470.0,25.21284615384615,0.0,train
7,Category4,30001311,2021-02-28,2671,73137.6075,2,1,1371.0,1300.0,27.38210688880569,0.0,train
8,Category4,30001311,2021-03-31,2400,63837.5837,3,1,-271.0,2671.0,26.598993208333333,0.0,train
9,Category4,30001311,2021-04-30,650,16661.2545,4,2,-1750.0,2400.0,25.63269923076923,0.0,train
10,Category4,30001311,2021-05-31,150,3585.714,5,2,-500.0,650.0,23.90476,0.0,train
11,Category4,30001311,2021-06-30,2200,57449.820999999996,6,2,2050.0,150.0,26.113554999999998,0.0,train
12,Category4,30001311,2021-07-31,1450,39618.7,7,3,-750.0,2200.0,27.323241379310343,0.0,train
13,Category4,30001311,2021-08-31,2200,64963.282999999996,8,3,750.0,1450.0,29.528764999999996,0.0,train
14,Category4,30001311,2021-09-30,5420,158932.862,9,3,3220.0,2200.0,29.32340627306273,0.0,train
15,Category4,30001311,2021-10-31,950,28886.4125,10,4,-4470.0,5420.0,30.40675,0.0,train
16,Category4,30001311,2021-11-30,4025,119186.64725,11,4,3075.0,950.0,29.611589378881987,0.0,train
17,Category4,30001311,2021-12-31,3700,111965.513,12,4,-325.0,4025.0,30.26094945945946,0.0,test
18,Category4,30001311,2022-01-31,6650,190571.2135,1,1,2950.0,3700.0,28.657325338345867,0.0,test
19,Category4,30001311,2022-02-28,2610,71644.1495,2,1,-4040.0,6650.0,27.44986570881226,0.0,test
20,Category4,30001311,2022-03-31,6625,179015.33375,3,1,4015.0,2610.0,27.02118245283019,0.0,test
21,Category4,30001311,2022-04-30,5000,153630.4,4,2,-1625.0,6625.0,30.72608,0.0,test
22,Category4,30001311,2022-05-31,2750,90871.0,5,2,-2250.0,5000.0,33.044,0.0,test
65,Category7,30006002,2019-08-31,6268,13723.932,8,3,1601.0,4667.0,2.189523292916401,2.0,train
66,Category7,30006002,2019-09-30,1820,4896.346,9,3,-4448.0,6268.0,2.6902999999999997,2.0,train
67,Category7,30006002,2019-10-31,10300,26190.9828,10,4,8480.0,1820.0,2.54281386407767,2.0,train
68,Category7,30006002,2019-11-30,9220,22593.6382,11,4,-1080.0,10300.0,2.45050305856833,2.0,train
69,Category7,30006002,2019-12-31,5620,13766.19556,12,4,-3600.0,9220.0,2.4495009893238433,2.0,train
70,Category7,30006002,2020-01-31,8064,21781.18656,1,1,2444.0,5620.0,2.70104,2.0,train
71,Category7,30006002,2020-02-29,1920,5229.0936,2,1,-6144.0,8064.0,2.72348625,2.0,train
72,Category7,30006002,2020-03-31,3600,11068.938,3,1,1680.0,1920.0,3.0747050000000002,2.0,train
73,Category7,30006002,2020-04-30,1940,5958.4806,4,2,-1660.0,3600.0,3.0713817525773197,2.0,train
74,Category7,30006002,2020-05-31,0,0.0,5,2,-1940.0,1940.0,,2.0,train
75,Category7,30006002,2020-06-30,2275,8584.0745,6,2,2275.0,0.0,3.7732195604395606,2.0,train
76,Category7,30006002,2020-07-31,2950,11732.025,7,3,675.0,2275.0,3.9769576271186438,2.0,train
77,Category7,30006002,2020-08-31,50,230.0,8,3,-2900.0,2950.0,4.6,2.0,train
78,Category7,30006002,2020-09-30,3473,17516.711,9,3,3423.0,50.0,5.043682983011805,2.0,train
79,Category7,30006002,2020-10-31,3295,16577.75,10,4,-178.0,3473.0,5.031183611532625,2.0,train
80,Category7,30006002,2020-11-30,3230,13213.8,11,4,-65.0,3295.0,4.090959752321981,2.0,train
81,Category7,30006002,2020-12-31,1856,9597.592,12,4,-1374.0,3230.0,5.171116379310345,2.0,train
82,Category7,30006002,2021-01-31,2825,13589.1072,1,1,969.0,1856.0,4.810303433628318,2.0,train
83,Category7,30006002,2021-02-28,2501,10217.47416,2,1,-324.0,2825.0,4.085355521791284,2.0,train
84,Category7,30006002,2021-03-31,4253,17911.894959999998,3,1,1752.0,2501.0,4.211590632494709,2.0,train
85,Category7,30006002,2021-04-30,4120,16955.30424,4,2,-133.0,4253.0,4.115365106796117,2.0,train
86,Category7,30006002,2021-05-31,1200,5371.08628,5,2,-2920.0,4120.0,4.475905233333334,2.0,train
87,Category7,30006002,2021-06-30,3952,17141.050152,6,2,2752.0,1200.0,4.337310261133603,2.0,train
88,Category7,30006002,2021-07-31,5015,26228.7808,7,3,1063.0,3952.0,5.230065962113659,2.0,train
89,Category7,30006002,2021-08-31,5225,25218.832875,8,3,210.0,5015.0,4.826570885167464,2.0,train
90,Category7,30006002,2021-09-30,4155,23089.211525,9,3,-1070.0,5225.0,5.556970282791816,2.0,train
91,Category7,30006002,2021-10-31,5275,25963.10973,10,4,1120.0,4155.0,4.921916536492891,2.0,train
92,Category7,30006002,2021-11-30,5850,32233.97775,11,4,575.0,5275.0,5.510081666666666,2.0,train
93,Category7,30006002,2021-12-31,16150,86890.23855000001,12,4,10300.0,5850.0,5.380200529411765,2.0,test
94,Category7,30006002,2022-01-31,12511,66351.138097,1,1,-3639.0,16150.0,5.303424034609544,2.0,test
95,Category7,30006002,2022-02-28,6640,34291.606944,2,1,-5871.0,12511.0,5.164398636144578,2.0,test
96,Category7,30006002,2022-03-31,3864,17641.967132,3,1,-2776.0,6640.0,4.565726483436854,2.0,test
97,Category7,30006002,2022-04-30,5185,27094.902000000002,4,2,1321.0,3864.0,5.225632015429123,2.0,test
98,Category7,30006002,2022-05-31,8300,47943.28,5,2,3115.0,5185.0,5.776298795180723,2.0,test
99,Category7,30006002,2022-06-30,22453,139641.6788,6,2,14153.0,8300.0,6.219288237651984,2.0,test
100,Category7,30006002,2022-07-31,4300,28980.95,7,3,-18153.0,22453.0,6.739755813953488,2.0,test
101,Category7,30006002,2022-08-31,100,624.75,8,3,-4200.0,4300.0,6.2475,2.0,test
102,Category7,30006002,2022-09-30,94,908.78792,9,3,-6.0,100.0,9.66795659574468,2.0,test
104,Category7,30006003,2019-08-31,11966,27142.359,8,3,5608.0,6358.0,2.2682900718702994,2.0,train
105,Category7,30006003,2019-09-30,3540,9523.662,9,3,-8426.0,11966.0,2.6903,2.0,train
106,Category7,30006003,2019-10-31,35180,84649.5747,10,4,31640.0,3540.0,2.406184613416714,2.0,train
107,Category7,30006003,2019-11-30,15760,39012.3256,11,4,-19420.0,35180.0,2.4754013705583753,2.0,train
108,Category7,30006003,2019-12-31,34160,94730.8832,12,4,18400.0,15760.0,2.773152318501171,2.0,train
109,Category7,30006003,2020-01-31,6008,17924.84832,1,1,-28152.0,34160.0,2.98349672436751,2.0,train
110,Category7,30006003,2020-02-29,32240,94382.80239999999,2,1,26232.0,6008.0,2.9275062779156324,2.0,train
111,Category7,30006003,2020-03-31,16200,49411.566,3,1,-16040.0,32240.0,3.0500966666666667,2.0,train
112,Category7,30006003,2020-04-30,9340,28528.4806,4,2,-6860.0,16200.0,3.0544411777301925,2.0,train
113,Category7,30006003,2020-05-31,5400,19113.138,5,2,-3940.0,9340.0,3.5394699999999997,2.0,train
114,Category7,30006003,2020-06-30,250,1115.31,6,2,-5150.0,5400.0,4.46124,2.0,train
115,Category7,30006003,2020-07-31,8800,40266.975,7,3,8550.0,250.0,4.575792613636364,2.0,train
116,Category7,30006003,2020-08-31,6625,30997.072,8,3,-2175.0,8800.0,4.678803320754717,2.0,train
117,Category7,30006003,2020-09-30,16442,94968.55684,9,3,9817.0,6625.0,5.775973533633378,2.0,train
118,Category7,30006003,2020-10-31,13768,84819.75168,10,4,-2674.0,16442.0,6.160644369552585,2.0,train
119,Category7,30006003,2020-11-30,12778,66618.29778,11,4,-990.0,13768.0,5.213515243387071,2.0,train
120,Category7,30006003,2020-12-31,6967,35705.8736,12,4,-5811.0,12778.0,5.124999799052676,2.0,train
121,Category7,30006003,2021-01-31,15598,74517.28896,1,1,8631.0,6967.0,4.777361774586486,2.0,train
122,Category7,30006003,2021-02-28,8016,38829.648440000004,2,1,-7582.0,15598.0,4.8440180189620765,2.0,train
123,Category7,30006003,2021-03-31,21455,106379.212608,3,1,13439.0,8016.0,4.958248082405034,2.0,train
124,Category7,30006003,2021-04-30,7000,30557.894,4,2,-14455.0,21455.0,4.365413428571428,2.0,train
125,Category7,30006003,2021-05-31,7845,36846.77256,5,2,845.0,7000.0,4.696848,2.0,train
126,Category7,30006003,2021-06-30,17142,85332.3293044,6,2,9297.0,7845.0,4.977968107828725,2.0,train
127,Category7,30006003,2021-07-31,12063,63364.482972,7,3,-5079.0,17142.0,5.2527963999005225,2.0,train
128,Category7,30006003,2021-08-31,21785,115180.428738,8,3,9722.0,12063.0,5.287143848427817,2.0,train
129,Category7,30006003,2021-09-30,23631,133732.474559,9,3,1846.0,21785.0,5.6591965874910075,2.0,train
130,Category7,30006003,2021-10-31,23649,131880.745753,10,4,18.0,23631.0,5.576588682523574,2.0,train
131,Category7,30006003,2021-11-30,25701,144053.635602,11,4,2052.0,23649.0,5.604981736197035,2.0,train
132,Category7,30006003,2021-12-31,50847,287550.45787,12,4,25146.0,25701.0,5.655209901665781,2.0,test
133,Category7,30006003,2022-01-31,48492,260724.900918,1,1,-2355.0,50847.0,5.376658024375154,2.0,test
134,Category7,30006003,2022-02-28,42808,221442.37135600002,2,1,-5684.0,48492.0,5.172920280227995,2.0,test
135,Category7,30006003,2022-03-31,61269,323808.672227,3,1,18461.0,42808.0,5.285032760890499,2.0,test
136,Category7,30006003,2022-04-30,23326,133987.0146,4,2,-37943.0,61269.0,5.744105916145074,2.0,test
137,Category7,30006003,2022-05-31,20246,124556.31122,5,2,-3080.0,23326.0,6.1521441874938265,2.0,test
138,Category7,30006003,2022-06-30,73948,485735.4889,6,2,53702.0,20246.0,6.568608872450912,2.0,test
139,Category7,30006003,2022-07-31,28996,196042.5071,7,3,-44952.0,73948.0,6.7610190060698026,2.0,test
140,Category7,30006003,2022-08-31,3462,29016.858,8,3,-25534.0,28996.0,8.381530329289427,2.0,test
141,Category7,30006003,2022-09-30,4390,40567.83984,9,3,928.0,3462.0,9.240965794988611,2.0,test
143,Category7,30006004,2019-08-31,11966,27142.359,8,3,5619.0,6347.0,2.2682900718702994,2.0,train
144,Category7,30006004,2019-09-30,3540,9523.662,9,3,-8426.0,11966.0,2.6903,2.0,train
145,Category7,30006004,2019-10-31,30366,73128.87032,10,4,26826.0,3540.0,2.408248380425476,2.0,train
146,Category7,30006004,2019-11-30,11820,29563.11708,11,4,-18546.0,30366.0,2.501109736040609,2.0,train
147,Category7,30006004,2019-12-31,15122,40549.511360000004,12,4,3302.0,11820.0,2.681491294802275,2.0,train
148,Category7,30006004,2020-01-31,3008,8803.52832,1,1,-12114.0,15122.0,2.9267048936170212,2.0,train
149,Category7,30006004,2020-02-29,20140,58592.3482,2,1,17132.0,3008.0,2.909252641509434,2.0,train
150,Category7,30006004,2020-03-31,13600,41195.858,3,1,-6540.0,20140.0,3.029107205882353,2.0,train
151,Category7,30006004,2020-04-30,13140,40118.4806,4,2,-460.0,13600.0,3.0531568188736684,2.0,train
152,Category7,30006004,2020-05-31,0,0.0,5,2,-13140.0,13140.0,,2.0,train
153,Category7,30006004,2020-06-30,275,1207.3145,6,2,275.0,0.0,4.390234545454545,2.0,train
154,Category7,30006004,2020-07-31,2450,10169.775,7,3,2175.0,275.0,4.1509285714285715,2.0,train
155,Category7,30006004,2020-08-31,488,2256.94753,8,3,-1962.0,2450.0,4.624892479508197,2.0,train
156,Category7,30006004,2020-09-30,6562,32558.54017,9,3,6074.0,488.0,4.961679391953672,2.0,train
157,Category7,30006004,2020-10-31,4675,29575.4,10,4,-1887.0,6562.0,6.326288770053476,2.0,train
158,Category7,30006004,2020-11-30,3430,17565.8895,11,4,-1245.0,4675.0,5.121250583090379,2.0,train
159,Category7,30006004,2020-12-31,4350,22485.0,12,4,920.0,3430.0,5.1689655172413795,2.0,train
160,Category7,30006004,2021-01-31,7504,34786.3872,1,1,3154.0,4350.0,4.635712579957356,2.0,train
161,Category7,30006004,2021-02-28,3947,19485.00448,2,1,-3557.0,7504.0,4.93666189004307,2.0,train
162,Category7,30006004,2021-03-31,4200,20392.9946,3,1,253.0,3947.0,4.8554749047619055,2.0,train
163,Category7,30006004,2021-04-30,2900,13726.2492,4,2,-1300.0,4200.0,4.733189379310345,2.0,train
164,Category7,30006004,2021-05-31,1740,7919.281319999999,5,2,-1160.0,2900.0,4.551311103448275,2.0,train
165,Category7,30006004,2021-06-30,3550,18327.339,6,2,1810.0,1740.0,5.162630704225352,2.0,train
166,Category7,30006004,2021-07-31,3650,19439.1066,7,3,100.0,3550.0,5.325782630136986,2.0,train
167,Category7,30006004,2021-08-31,6750,37248.228,8,3,3100.0,3650.0,5.518256,2.0,train
168,Category7,30006004,2021-09-30,9685,53914.201145,9,3,2935.0,6750.0,5.5667734790913785,2.0,train
169,Category7,30006004,2021-10-31,6625,37130.317125,10,4,-3060.0,9685.0,5.604576169811321,2.0,train
170,Category7,30006004,2021-11-30,13640,74291.904975,11,4,7015.0,6625.0,5.446620599340176,2.0,train
171,Category7,30006004,2021-12-31,17325,95735.111106,12,4,3685.0,13640.0,5.525836138874459,2.0,test
172,Category7,30006004,2022-01-31,23520,127009.344558,1,1,6195.0,17325.0,5.400057166581632,2.0,test
173,Category7,30006004,2022-02-28,13482,69445.304049,2,1,-10038.0,23520.0,5.150964548954161,2.0,test
174,Category7,30006004,2022-03-31,1872,10433.742576,3,1,-11610.0,13482.0,5.573580435897436,2.0,test
175,Category7,30006004,2022-04-30,7292,42765.7344,4,2,5420.0,1872.0,5.8647469007131106,2.0,test
176,Category7,30006004,2022-05-31,11125,66352.5425,5,2,3833.0,7292.0,5.964273483146067,2.0,test
177,Category7,30006004,2022-06-30,29650,188281.1575,6,2,18525.0,11125.0,6.350123355817876,2.0,test
178,Category7,30006004,2022-07-31,13675,91623.16249999999,7,3,-15975.0,29650.0,6.700048446069469,2.0,test
179,Category7,30006004,2022-08-31,300,1874.25,8,3,-13375.0,13675.0,6.2475,2.0,test
180,Category7,30006004,2022-09-30,138,1357.9258399999999,9,3,-162.0,300.0,9.84004231884058,2.0,test
182,Category7,30006023,2020-01-31,0,0.0,1,1,-2000.0,2000.0,,2.0,train
183,Category7,30006023,2020-02-29,0,0.0,2,1,0.0,0.0,,2.0,train
184,Category7,30006023,2020-03-31,0,0.0,3,1,0.0,0.0,,2.0,train
185,Category7,30006023,2020-04-30,0,0.0,4,2,0.0,0.0,,2.0,train
186,Category7,30006023,2020-05-31,0,0.0,5,2,0.0,0.0,,2.0,train
187,Category7,30006023,2020-06-30,25,153.34125,6,2,25.0,0.0,6.13365,2.0,train
188,Category7,30006023,2020-07-31,1000,0.01,7,3,975.0,25.0,1e-05,2.0,train
189,Category7,30006023,2020-08-31,0,0.0,8,3,-1000.0,1000.0,,2.0,train
190,Category7,30006023,2020-09-30,100,967.75,9,3,100.0,0.0,9.6775,2.0,train
191,Category7,30006023,2020-10-31,770,7633.325,10,4,670.0,100.0,9.913409090909092,2.0,train
192,Category7,30006023,2020-11-30,0,0.0,11,4,-770.0,770.0,,2.0,train
193,Category7,30006023,2020-12-31,2700,23748.325,12,4,2700.0,0.0,8.795675925925925,2.0,train
194,Category7,30006023,2021-01-31,2795,23861.02355,1,1,95.0,2700.0,8.537038837209304,2.0,train
195,Category7,30006023,2021-02-28,721,6197.154,2,1,-2074.0,2795.0,8.59522052704577,2.0,train
196,Category7,30006023,2021-03-31,5750,47932.200675,3,1,5029.0,721.0,8.3360349,2.0,train
197,Category7,30006023,2021-04-30,2050,16597.74645,4,2,-3700.0,5750.0,8.09646168292683,2.0,train
198,Category7,30006023,2021-05-31,1540,11516.43544,5,2,-510.0,2050.0,7.4782048311688305,2.0,train
199,Category7,30006023,2021-06-30,2375,20230.474975,6,2,835.0,1540.0,8.51809472631579,2.0,train
200,Category7,30006023,2021-07-31,2356,20200.252458,7,3,-19.0,2375.0,8.57396114516129,2.0,train
201,Category7,30006023,2021-08-31,5396,49594.9532,8,3,3040.0,2356.0,9.191058784284657,2.0,train
202,Category7,30006023,2021-09-30,5462,53956.94047,9,3,66.0,5396.0,9.878604992676676,2.0,train
203,Category7,30006023,2021-10-31,7358,74135.8455905,10,4,1896.0,5462.0,10.075543026705626,2.0,train
204,Category7,30006023,2021-11-30,8000,80404.70014999999,11,4,642.0,7358.0,10.05058751875,2.0,train
205,Category7,30006023,2021-12-31,10148,101159.410642,12,4,2148.0,8000.0,9.968408616673237,2.0,test
206,Category7,30006023,2022-01-31,23690,226721.653082,1,1,13542.0,10148.0,9.570352599493457,2.0,test
207,Category7,30006023,2022-02-28,18526,166844.294678,2,1,-5164.0,23690.0,9.005953507395013,2.0,test
208,Category7,30006023,2022-03-31,29218,261232.471192,3,1,10692.0,18526.0,8.94080605079061,2.0,test
209,Category7,30006023,2022-04-30,7002,71642.5364,4,2,-22216.0,29218.0,10.231724707226507,2.0,test
210,Category7,30006023,2022-05-31,8400,94077.2685,5,2,1398.0,7002.0,11.199674821428571,2.0,test
211,Category7,30006023,2022-06-30,17650,201355.3915,6,2,9250.0,8400.0,11.408237478753541,2.0,test
212,Category7,30006023,2022-07-31,11192,133526.945,7,3,-6458.0,17650.0,11.930570496783417,2.0,test
213,Category7,30006023,2022-08-31,4195,62646.2893,8,3,-6997.0,11192.0,14.933561215733015,2.0,test
214,Category7,30006023,2022-09-30,2783,39540.1188,9,3,-1412.0,4195.0,14.207732231404957,2.0,test
216,Category8,30009007,2019-06-30,0,0.0,6,2,-143.0,143.0,,3.0,train
217,Category8,30009007,2019-07-31,6,17.19366,7,3,6.0,0.0,2.86561,3.0,train
218,Category8,30009007,2019-08-31,0,0.0,8,3,-6.0,6.0,,3.0,train
219,Category8,30009007,2019-09-30,40,111.948,9,3,40.0,0.0,2.7986999999999997,3.0,train
220,Category8,30009007,2019-10-31,440,1399.417,10,4,400.0,40.0,3.1804931818181816,3.0,train
221,Category8,30009007,2019-11-30,220,676.95006,11,4,-220.0,440.0,3.0770457272727274,3.0,train
222,Category8,30009007,2019-12-31,910,3679.45588,12,4,690.0,220.0,4.04335810989011,3.0,train
223,Category8,30009007,2020-01-31,100,330.323,1,1,-810.0,910.0,3.3032299999999997,3.0,train
224,Category8,30009007,2020-02-29,730,3004.6444,2,1,630.0,100.0,4.1159512328767125,3.0,train
